Code,Location
ABE,"Aberdeen, WA"
ABQ,"Albuquerque, NM"
ADT,"Amistad Dam, TX"
ALP,"Alpena, MI"
AGN,"Algonac, MI"
AKR,"Akron, OH"
ALC,"Alcan, AK"
ANA,"Anacortes, WA"
AND,"Andrade, CA"
ANT,"Antler, ND"
ARU,Aruba
ATB,"Ashtabula, OH"
ATW,"Appleton, WI"
AXB,"Alexandria Bay, NY"
BAU,"Baudette, MN"
BBM,"Brownsville, B&M Bridge"
BCY,"Bay City, MI"
BEA,"Beaumont, TX"
BEE,"Beecher Falls, VT"
BGC,"Bridgeport, CT"
BHM,"Bar Harbor, ME Ferry Terminal"
BLA,"Blaine, WA"
BOC,"Boca Grande, FL"
BOS,"Boston, MA"
BRO,"Brownsville, TX"
BTM,"Butte, MT"
BUF,"Buffalo, NY"
BWM,"Bridgewater, ME"
CAN,"Cape Canaveral, FL"
CHA,"Charlotte Amalie, St. Thomas, VI"
CHF,"Chief Mountain, MT"
CHL,"Charleston, SC"
CHR,"Christiansted, St. Croix, VI"
CIN,"Cincinnati, OH"
CLE,"Cleveland, OH"
CLS,"Calais, ME"
CNA,"Canaan, VT"
CNJ,"Camden, NJ"
COL,"Columbus, NM"
COR,"Corpus Christi, TX"
CRA,"Crane Lake, MN"
CRU,"Cruz Bay, St. John, VI"
CRY,"Carbury, ND"
DAL,"Dallas, TX"
DBL,"Dublin, Ireland"
DCB,"Detroit, Ambassador Bridge"
DEN,"Denver, CO"
DET,"Detroit, MI"
DLB,"Del Bonita, MT"
DMA,"Detroit, MI"
DNS,"Dunseith, ND"
DSM,"Des Moines, IA"
DVD,"Dover, AFB DE"
EDA,"Edmonton, AB Canada"
EGP,"Eagle Pass, TX"
ELY,"Ely, MN"
EPI,"Eastport, ID"
ERC,"East Richford, VT"
EVE,"Everett, WA"
FAJ,"Fajardo, PR"
FAR,"Fargo, ND"
FDE,"Eagle Pass, Fort Duncan Bridge"
FHK,"Fort Hancock, TX"
FRB,"Fairbanks, AK"
FRI,"Friday Harbor, WA"
FRN,"Fernandina, FL"
FTC,"Fort Covington, NY"
FTH,"Fort Hancock, NM"
FTL,"Fort Lauderdale, FL"
FTM,"Fort Meyers, FL"
GAL,"Galveston, TX"
GEO,"Georgetown, SC"
GLO,"Gloucester, MA"
GPM,"Grand Portage, MN"
GRE,"Great Falls, MT"
GRO,"Grosse Isle, MI"
GRR,"Greer, SC"
GSN,"Saipan Island, Saipan Intl Arpt, MP, USA"
GUL,"Gulfport, MS"
HAL,"Halifax, Nova Scotia"
HAR,"Harrisburg, PA"
HHW,"Honolulu, HI"
HIG,"Highgate Springs, VT"
HML,"Hamlin, ME"
HNN,"Hannah, ND"
HOB,"Hoboken, NJ"
HOP,"Hopewell, VA"
HSB,"Harrisburg, PA"
HUM,"Humacao, PR"
HYD,"Hyder, AK"
INP,"Indianapolis, IN"
ISB,"Port Isabel, TX"
IVP,"Calexico, Truck Crossing"
JER,"Jersey City, NJ"
JOB,"Jobos, PR"
KAL,"Kalispell, MT"
KET,"Ketchikan, AK"
KLM,"Kalama, WA"
LAN,"Lancaster, MN"
LAU,"Laurier, WA"
LEB,"Lebanon, ME"
LIM,"Limestone, ME"
LLB,"Laredo Juarez-Lincoln Bridge 2, TX"
LOI,Los Indios
LOR,"Lorain, OH"
LOU,"Louisville, KY"
LUB,"Lubec, ME"
LVG,"Las Vegas, NV"
LYN,"Lynden, WA"
MAD,"Madawaska, ME"
MAI,"Maida, ND"
MAS,"Massena, NY"
MCI,"McAllen, TX"
MET,"Metaline Falls, WA"
MGM,"Morgan, MT"
MIL,"Milwaukee, WI"
MNW,"Manitowoc, WI"
MON,"Montreal, Quebec"
MOR,"Morses Line, VT"
MRH,"Morehead City, NC"
MRY,"Marysville, MI"
MTH,"Marathon ARPT, FL"
NAC,"Naco, AZ"
NEA,"Neah Bay, WA"
NEW,"Newark, NJ"
NIG,"Nighthawk, WA"
NOG,"Nogales, AZ"
NOM,"Nome, AK"
NOR,"Norfolk, VA"
NPV,"Newport, VT"
NRN,"Norton, VT"
NSV,"Nashville, TN"
NWL,"New London, CT"
NYC,"New York, NY"
OAK,"Oakland, CA"
OKC,"Oklahoma City, OK"
OMA,"Omaha, NE"
ORL,"Orlando, FL"
OSW,"Oswego, NY"
OTT,"Ottawa, Canada"
PAR,"Port Arthur, TX"
PAX,"Patuxent River, MD"
PCF,"Port Canaveral, FL"
PEM,"Pembina, ND"
PER,"Perth Amboy, NJ"
PGR,"Progreso, TX"
PHO,"Phoenix, AZ"
PHU,"Port Huron, M"
PIB,"Paradise, Island, Bahamas"
PIN,"Pine Creek, MN"
PIV,"Pinnacle POE, VT"
PNG,"Port Angeles, WA"
POE,"Port of El Paso, TX"
PON,"Ponce, PR"
POR,"Portal, ND"
PRE,"Presidio, TX"
PSJ,"Port St. Joe, FL"
PTL,"Porthill, ID"
PTR,"Point Roberts, WA"
RAN,"Ranier, MN"
RBB,"Niagara Falls, Rainbow Bridge, NY"
RCM,"Richmond, VA"
REN,"Reno, NV"
RIO,"Rio Grande City, TX"
ROC,"Rochester, NY"
ROO,"Roosville, MT"
ROU,"Rouses Point, NY"
SAG,"Saginaw, MI"
SAR,"Sarles, ND"
SAU,"St. Augustine, FL"
SBR,"South Brewer, ME"
SCO,"Scobey, MT"
SDY,"Sandusky, OH"
SET,"Seattle-Tacoma, WA"
SPE,"St. Petersburg, FL"
SFR,"San Francisco, CA"
SHR,"Sherwood, ND"
SKA,"Skagway, AK"
SLO,"San Luis Obispo, CA"
SNA,"San Antonio, TX"
SNJ,"San Jose, CA"
SPA,"St. Pamphile, ME"
SPM,"St. Paul, MN"
SRL,"St. Aurelie, ME"
SSM,"Sault Ste. Marie, MI"
STJ,"St. John, USVI"
STR,"Santa Teresa, NM"
SUM,"Sumas, WA"
SYR,"Syracuse, NY"
TAC,"Tacoma, WA"
TEC,"Tecate, CA"
TOL,"Toledo, OH"
TRL,"Trail Creek, MT"
TRV,"Travis AFB, CA"
TUR,"Turner, MT"
VCB,"Vanceboro, ME"
VIB,Veterans International Bridge
VNB,"Van Buren, ME"
WAR,"Warroad, MN"
WBE,"West Berkshire, VT"
WHI,"Whitetail, MT"
WHO,"Westhope, ND"
WHT,"Whitlash, MT"
WIN,"Winnipeg, SK. Canada"
WRB,Whirlpool Bridge
WPB,"West Palm Beach, FL"
YAK,"Yakima, WA"
YSL,"Ysleta, TX"
ABG,"Alburg, VT"
ABS,"Alburg Springs, VT"
AGM,"Algoma, WI"
AGA,"Agana, Guam"
AGU,"Mayaguez, PR"
ALB,"Albany, NY"
AMB,"Ambrose, ND"
ANC,"Anchorage, AK"
ANP,"Antelope Wells, NM"
ANZ,"Anzaldaus, TX"
AST,"Astoria, OR"
ATL,"Atlanta, GA"
AUS,"Austin, TX"
BAL,"Baltimore, MD"
BAY,"Bayfield, WI"
BCK,"Bucksport, ME"
BCM,"Battle Creek and Kalamazoo County Airport, MI"
BEB,"Beebe Plain, VT"
BEL,"Bellingham, WA"
BGM,"Bangor, ME"
BIL,"Billings, MT"
BOA,"El Paso, TX Bridge of Americas"
BOO,"Boothbay Harbor, ME"
BRG,"Burlington, VT"
BRU,"Brunswick, GA"
BTN,"Baton Rouge, LA"
BWA,"Boundary, WA"
CAL,"Calexico, CA"
CAP,"Cape Vincent, NY"
CBH,"Churubusco, IN"
CHI,"Chicago, IL"
CHM,"Champlain, NY"
CHT,"Chateaugay, NY"
CLA,"Clayton, NY"
CLG,"Calgary, Alberta Canada"
CLT,"Charlotte, NC"
CNC,"Cannon Corners, NY"
COB,"Coburn Gore, ME"
COO,"Coos Bay, OR"
COW,"HQ, Washington DC"
CRB,"Caribou, ME"
CSP,"Casper, WY"
CUT,"Cut Bank, MT"
DAC,"Dalton Cache, AK"
DCA,"Detroit, MI"
DCT,"Detroit, Windsor Tunnel"
DER,"Del Rio, TX"
DIB,"Detroit, MI"
DLR,"Del Rio, TX"
